Data Download from NCSES Interactive Data Tool,,,,
,,,,
Filters,Selected values,,,
Institution Name,12 of 1070,,,
,,,,
,,,<measures>,
[Year],[Institution Name],[SEH Fields],[Sex],Graduate Students by Demographic Characteristics and Enrollment
2013,Stanford University,Science,Female,"1,126"
2013,Stanford University,Science,Male,"1,810"
2013,Stanford University,Engineering,Total for selected values,"3,232"
2013,Stanford University,Engineering,Female,916
2013,Stanford University,Engineering,Male,"2,316"
2013,Stanford University,Health,Total for selected values,18
2013,Stanford University,Health,Female,8
2013,Stanford University,Health,Male,10
2013,University of Pennsylvania,Total for selected values,Total for selected values,"3,148"
2013,University of Pennsylvania,Science,Total for selected values,"2,233"
2013,University of Pennsylvania,Science,Female,"1,063"
2013,University of Pennsylvania,Science,Male,"1,170"
2013,University of Pennsylvania,Engineering,Total for selected values,822
2013,University of Pennsylvania,Engineering,Female,261
2013,University of Pennsylvania,Engineering,Male,561
2013,University of Pennsylvania,Health,Total for selected values,93
2013,University of Pennsylvania,Health,Female,72
2013,University of Pennsylvania,Health,Male,21
2013,Yale University,Total for selected values,Total for selected values,"2,188"
2013,Yale University,Science,Total for selected values,"1,968"
2013,Yale University,Science,Female,933
2013,Yale University,Science,Male,"1,035"
2013,Yale University,Engineering,Total for selected values,200
2013,Yale University,Engineering,Female,69
2013,Yale University,Engineering,Male,131
2013,Yale University,Health,Total for selected values,20
2013,Yale University,Health,Female,19
2013,Yale University,Health,Male,1
2012,Total for selected values,Total for selected values,Total for selected values,"36,953"
2012,Brown University,Total for selected values,Total for selected values,"1,508"
2012,Brown University,Science,Total for selected values,"1,328"
2012,Brown University,Science,Female,658
2012,Brown University,Science,Male,670
2012,Brown University,Engineering,Total for selected values,180
2012,Brown University,Engineering,Female,59
2012,Brown University,Engineering,Male,121
2012,Columbia University in the City of New York,Total for selected values,Total for selected values,"5,090"
2012,Columbia University in the City of New York,Science,Total for selected values,"2,964"
2012,Columbia University in the City of New York,Science,Female,"1,329"
2012,Columbia University in the City of New York,Science,Male,"1,635"
