Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Enrollment Status","Full Time"
"Institution Name","12 of 1070"
"SEH Fields","Science, Engineering"
"First-Time Students","First Time Students"

,,,,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[SEH Fields]","[Broad Fields]","[First-Time Students]","[Enrollment Status]","[Sex]",
"2016","Dartmouth College","Science","Biological sciences","First Time Students","Full Time","Male","17",
"2016","Dartmouth College","Science","Computer sciences","Total for selected values","Total for selected values","Total for selected values","24",
"2016","Dartmouth College","Science","Computer sciences","First Time Students","Total for selected values","Total for selected values","24",
"2016","Dartmouth College","Science","Computer sciences","First Time Students","Full Time","Total for selected values","24",
"2016","Dartmouth College","Science","Computer sciences","First Time Students","Full Time","Female","6",
"2016","Dartmouth College","Science","Computer sciences","First Time Students","Full Time","Male","18",
"2016","Dartmouth College","Science","Earth, atmospheric, and ocean sciences","Total for selected values","Total for selected values","Total for selected values","5",
"2016","Dartmouth College","Science","Earth, atmospheric, and ocean sciences","First Time Students","Total for selected values","Total for selected values","5",
"2016","Dartmouth College","Science","Earth, atmospheric, and ocean sciences","First Time Students","Full Time","Total for selected values","5",
"2016","Dartmouth College","Science","Earth, atmospheric, and ocean sciences","First Time Students","Full Time","Female","3",
"2016","Dartmouth College","Science","Earth, atmospheric, and ocean sciences","First Time Students","Full Time","Male","2",
"2016","Dartmouth College","Science","Mathematics and statistics","Total for selected values","Total for selected values","Total for selected values","7",
"2016","Dartmouth College","Science","Mathematics and statistics","First Time Students","Total for selected values","Total for selected values","7",
"2016","Dartmouth College","Science","Mathematics and statistics","First Time Students","Full Time","Total for selected values","7",
"2016","Dartmouth College","Science","Mathematics and statistics","First Time Students","Full Time","Female","3",
"2016","Dartmouth College","Science","Mathematics and statistics","First Time Students","Full Time","Male","4",
"2016","Dartmouth College","Science","Multidisciplinary and interdisciplinary studies","Total for selected values","Total for selected values","Total for selected values","7",
"2016","Dartmouth College","Science","Multidisciplinary and interdisciplinary studies","First Time Students","Total for selected values","Total for selected values","7",
"2016","Dartmouth College","Science","Multidisciplinary and interdisciplinary studies","First Time Students","Full Time","Total for selected values","7",
"2016","Dartmouth College","Science","Multidisciplinary and interdisciplinary studies","First Time Students","Full Time","Female","4",
"2016","Dartmouth College","Science","Multidisciplinary and interdisciplinary studies","First Time Students","Full Time","Male","3",
"2016","Dartmouth College","Science","Neurobiology and neuroscience","Total for selected values","Total for selected values","Total for selected values","11",
"2016","Dartmouth College","Science","Neurobiology and neuroscience","First Time Students","Total for selected values","Total for selected values","11",
"2016","Dartmouth College","Science","Neurobiology and neuroscience","First Time Students","Full Time","Total for selected values","11",
"2016","Dartmouth College","Science","Neurobiology and neuroscience","First Time Students","Full Time","Female","7",
"2016","Dartmouth College","Science","Neurobiology and neuroscience","First Time Students","Full Time","Male","4",
"2016","Dartmouth College","Science","Physical sciences","Total for selected values","Total for selected values","Total for selected values","14",
"2016","Dartmouth College","Science","Physical sciences","First Time Students","Total for selected values","Total for selected values","14",
"2016","Dartmouth College","Science","Physical sciences","First Time Students","Full Time","Total for selected values","14",
"2016","Dartmouth College","Science","Physical sciences","First Time Students","Full Time","Female","2",
"2016","Dartmouth College","Science","Physical sciences","First Time Students","Full Time","Male","12",
"2016","Dartmouth College","Engineering","Total for selected values","Total for selected values","Total for selected values","Total for selected values","85",
"2016","Dartmouth College","Engineering","Engineering","Total for selected values","Total for selected values","Total for selected values","85",
"2016","Dartmouth College","Engineering","Engineering","First Time Students","Total for selected values","Total for selected values","85",
"2016","Dartmouth College","Engineering","Engineering","First Time Students","Full Time","Total for selected values","85",
"2016","Dartmouth College","Engineering","Engineering","First Time Students","Full Time","Female","25",
"2016","Dartmouth College","Engineering","Engineering","First Time Students","Full Time","Male","60",
"2016","Duke University","Total for selected values","Total for selected values","Total for selected values","Total for selected values","Total for selected values","581",
"2016","Duke University","Science","Total for selected values","Total for selected values","Total for selected values","Total for selected values","400",
"2016","Duke University","Science","Agricultural sciences","Total for selected values","Total for selected values","Total for selected values","13",
"2016","Duke University","Science","Agricultural sciences","First Time Students","Total for selected values","Total for selected values","13",
"2016","Duke University","Science","Agricultural sciences","First Time Students","Full Time","Total for selected values","13",
"2016","Duke University","Science","Agricultural sciences","First Time Students","Full Time","Female","8",
"2016","Duke University","Science","Agricultural sciences","First Time Students","Full Time","Male","5",
"2016","Duke University","Science","Biological sciences","Total for selected values","Total for selected values","Total for selected values","95",
"2016","Duke University","Science","Biological sciences","First Time Students","Total for selected values","Total for selected values","95",
"2016","Duke University","Science","Biological sciences","First Time Students","Full Time","Total for selected values","95",
"2016","Duke University","Science","Biological sciences","First Time Students","Full Time","Female","51",
"2016","Duke University","Science","Biological sciences","First Time Students","Full Time","Male","44",
"2016","Duke University","Science","Computer sciences","Total for selected values","Total for selected values","Total for selected values","25",
"2016","Duke University","Science","Computer sciences","First Time Students","Total for selected values","Total for selected values","25",
"2016","Duke University","Science","Computer sciences","First Time Students","Full Time","Total for selected values","25",
"2016","Duke University","Science","Computer sciences","First Time Students","Full Time","Female","7",
"2016","Duke University","Science","Computer sciences","First Time Students","Full Time","Male","18",
"2016","Duke University","Science","Earth, atmospheric, and ocean sciences","Total for selected values","Total for selected values","Total for selected values","9",
"2016","Duke University","Science","Earth, atmospheric, and ocean sciences","First Time Students","Total for selected values","Total for selected values","9",
"2016","Duke University","Science","Earth, atmospheric, and ocean sciences","First Time Students","Full Time","Total for selected values","9",
"2016","Duke University","Science","Earth, atmospheric, and ocean sciences","First Time Students","Full Time","Female","4",
"2016","Duke University","Science","Earth, atmospheric, and ocean sciences","First Time Students","Full Time","Male","5",
"2016","Duke University","Science","Mathematics and statistics","Total for selected values","Total for selected values","Total for selected values","44",
"2016","Duke University","Science","Mathematics and statistics","First Time Students","Total for selected values","Total for selected values","44",
"2016","Duke University","Science","Mathematics and statistics","First Time Students","Full Time","Total for selected values","44",
"2016","Duke University","Science","Mathematics and statistics","First Time Students","Full Time","Female","14",
"2016","Duke University","Science","Mathematics and statistics","First Time Students","Full Time","Male","30",
"2016","Duke University","Science","Neurobiology and neuroscience","Total for selected values","Total for selected values","Total for selected values","12",
"2016","Duke University","Science","Neurobiology and neuroscience","First Time Students","Total for selected values","Total for selected values","12",
"2016","Duke University","Science","Neurobiology and neuroscience","First Time Students","Full Time","Total for selected values","12",
"2016","Duke University","Science","Neurobiology and neuroscience","First Time Students","Full Time","Female","6",
"2016","Duke University","Science","Neurobiology and neuroscience","First Time Students","Full Time","Male","6",
"2016","Duke University","Science","Physical sciences","Total for selected values","Total for selected values","Total for selected values","37",
"2016","Duke University","Science","Physical sciences","First Time Students","Total for selected values","Total for selected values","37",
"2016","Duke University","Science","Physical sciences","First Time Students","Full Time","Total for selected values","37",
"2016","Duke University","Science","Physical sciences","First Time Students","Full Time","Female","10",
"2016","Duke University","Science","Physical sciences","First Time Students","Full Time","Male","27",
"2016","Duke University","Science","Psychology","Total for selected values","Total for selected values","Total for selected values","18",
"2016","Duke University","Science","Psychology","First Time Students","Total for selected values","Total for selected values","18",
"2016","Duke University","Science","Psychology","First Time Students","Full Time","Total for selected values","18",
"2016","Duke University","Science","Psychology","First Time Students","Full Time","Female","11",
"2016","Duke University","Science","Psychology","First Time Students","Full Time","Male","7",
"2016","Duke University","Science","Social sciences","Total for selected values","Total for selected values","Total for selected values","147",
"2016","Duke University","Science","Social sciences","First Time Students","Total for selected values","Total for selected values","147",
"2016","Duke University","Science","Social sciences","First Time Students","Full Time","Total for selected values","147",
"2016","Duke University","Science","Social sciences","First Time Students","Full Time","Female","77",
"2016","Duke University","Science","Social sciences","First Time Students","Full Time","Male","70",
"2016","Duke University","Engineering","Total for selected values","Total for selected values","Total for selected values","Total for selected values","181",
"2016","Duke University","Engineering","Engineering","Total for selected values","Total for selected values","Total for selected values","181",
"2016","Duke University","Engineering","Engineering","First Time Students","Total for selected values","Total for selected values","181",
"2016","Duke University","Engineering","Engineering","First Time Students","Full Time","Total for selected values","181",
"2016","Duke University","Engineering","Engineering","First Time Students","Full Time","Female","49",
"2016","Duke University","Engineering","Engineering","First Time Students","Full Time","Male","132",
"2016","Harvard University","Total for selected values","Total for selected values","Total for selected values","Total for selected values","Total for selected values","1,445",
"2016","Harvard University","Science","Total for selected values","Total for selected values","Total for selected values","Total for selected values","1,400",
