Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Enrollment Status","Full Time"
"Institution Name","12 of 1070"
"SEH Fields","Science, Engineering"
"First-Time Students","First Time Students"

,,,,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"[Year]","[Institution Name]","[SEH Fields]","[Detailed Fields]","[First-Time Students]","[Enrollment Status]","[Sex]",
"2016","Columbia University in the City of New York","Engineering","Civil engineering","First Time Students","Total for selected values","Total for selected values","84",
"2016","Columbia University in the City of New York","Engineering","Civil engineering","First Time Students","Full Time","Total for selected values","84",
"2016","Columbia University in the City of New York","Engineering","Civil engineering","First Time Students","Full Time","Female","31",
"2016","Columbia University in the City of New York","Engineering","Civil engineering","First Time Students","Full Time","Male","53",
"2016","Columbia University in the City of New York","Engineering","Electrical engineering","Total for selected values","Total for selected values","Total for selected values","202",
"2016","Columbia University in the City of New York","Engineering","Electrical engineering","First Time Students","Total for selected values","Total for selected values","202",
"2016","Columbia University in the City of New York","Engineering","Electrical engineering","First Time Students","Full Time","Total for selected values","202",
"2016","Columbia University in the City of New York","Engineering","Electrical engineering","First Time Students","Full Time","Female","48",
"2016","Columbia University in the City of New York","Engineering","Electrical engineering","First Time Students","Full Time","Male","154",
"2016","Columbia University in the City of New York","Engineering","Engineering not elsewhere classified","Total for selected values","Total for selected values","Total for selected values","90",
"2016","Columbia University in the City of New York","Engineering","Engineering not elsewhere classified","First Time Students","Total for selected values","Total for selected values","90",
"2016","Columbia University in the City of New York","Engineering","Engineering not elsewhere classified","First Time Students","Full Time","Total for selected values","90",
"2016","Columbia University in the City of New York","Engineering","Engineering not elsewhere classified","First Time Students","Full Time","Female","33",
"2016","Columbia University in the City of New York","Engineering","Engineering not elsewhere classified","First Time Students","Full Time","Male","57",
"2016","Columbia University in the City of New York","Engineering","Engineering science, mechanics, and physics","Total for selected values","Total for selected values","Total for selected values","56",
"2016","Columbia University in the City of New York","Engineering","Engineering science, mechanics, and physics","First Time Students","Total for selected values","Total for selected values","56",
"2016","Columbia University in the City of New York","Engineering","Engineering science, mechanics, and physics","First Time Students","Full Time","Total for selected values","56",
"2016","Columbia University in the City of New York","Engineering","Engineering science, mechanics, and physics","First Time Students","Full Time","Female","16",
"2016","Columbia University in the City of New York","Engineering","Engineering science, mechanics, and physics","First Time Students","Full Time","Male","40",
"2016","Columbia University in the City of New York","Engineering","Industrial and manufacturing engineering","Total for selected values","Total for selected values","Total for selected values","433",
"2016","Columbia University in the City of New York","Engineering","Industrial and manufacturing engineering","First Time Students","Total for selected values","Total for selected values","433",
